-e norm_key	source_class	source_detail	recipe_name
amazonphotosdownload	dynamic-scrape		AmazonPhotos.download
amazonphotosmunki	dynamic-scrape		AmazonPhotos.munki
amazonq	dynamic-scrape	desktop-release.codewhisperer.us-east-1.amazonaws.com	AmazonQ
amazonqdownload	dynamic-scrape	desktop-release.codewhisperer.us-east-1.amazonaws.com	Amazon Q.download
amazonqmunki	dynamic-scrape	desktop-release.codewhisperer.us-east-1.amazonaws.com	Amazon Q.munki
amazonworkspacesapplications	sparkle/feed	clients.amazonappstream.com	AmazonWorkSpacesApplications
amazonworkspacesapplicationsdownload	sparkle/feed	clients.amazonappstream.com	Amazon WorkSpaces Applications.download
amazonworkspacesapplicationsmunki	sparkle/feed	clients.amazonappstream.com	Amazon WorkSpaces Applications.munki
ambeoabconverter	dynamic-scrape	en-uk.sennheiser.com	AMBEO A-B Converter
ambeoorbit	dynamic-scrape	en-us.sennheiser.com	AMBEO Orbit
ammonite	dynamic-scrape	www.soma-zone.com	Ammonite
ammonitedownload	dynamic-scrape	www.soma-zone.com	Ammonite.download
amsnevegenesyscontrolplugin	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin
amsnevegenesyscontrolplugin10111014download	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin - 10.11-10.14.download
amsnevegenesyscontrolplugin10111014munki	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin - 10.11-10.14.munki
amsnevegenesyscontrolplugin1015download	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin - 10.15+.download
amsnevegenesyscontrolplugin1015munki	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin - 10.15+.munki
amsnevegenesyscontrolplugin1015pkg	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl Plugin - 10.15+.pkg
amsnevegenesyscontrolplugindownload	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl plugin.download
amsnevegenesyscontrolpluginmunki	dynamic-scrape	www.ams-neve.com	AMS Neve GenesysControl plugin.munki
androidndk	dynamic-scrape	github.com	android_ndk
androidndkdownload	dynamic-scrape	github.com	android_ndk.download
androidsdk	dynamic-scrape	developer.android.com	android_sdk
androidsdkminimaldownload	dynamic-scrape	developer.android.com	android_sdk.minimal.download
