slug,name,appcatalog_url
microsoft-365-license-removal-tool,Microsoft 365 License Removal Tool,https://appcatalog.cloud/apps/microsoft-365-license-removal-tool
mimiq,Mimiq,https://appcatalog.cloud/apps/mimiq
minimoon,Minimoon,https://appcatalog.cloud/apps/minimoon
mirrormask,Mirrormask,https://appcatalog.cloud/apps/mirrormask
mister-horse-product-manager,Mister Horse Product Manager,https://appcatalog.cloud/apps/mister-horse-product-manager
mixpad,Mixpad,https://appcatalog.cloud/apps/mixpad
modalfilemanager,Modalfilemanager,https://appcatalog.cloud/apps/modalfilemanager
monotype-connect,Monotype Connect,https://appcatalog.cloud/apps/monotype-connect
monsterwriter,Monsterwriter,https://appcatalog.cloud/apps/monsterwriter
movie-magic-scheduling,Movie Magic Scheduling,https://appcatalog.cloud/apps/movie-magic-scheduling
multiviewer-for-f1,Multiviewer For F1,https://appcatalog.cloud/apps/multiviewer-for-f1
musebox,Musebox,https://appcatalog.cloud/apps/musebox
mut,Mut,https://appcatalog.cloud/apps/mut
mxmarkedit,Mxmarkedit,https://appcatalog.cloud/apps/mxmarkedit
my-picturemaxx-5,My Picturemaxx 5,https://appcatalog.cloud/apps/my-picturemaxx-5
mymedia,Mymedia,https://appcatalog.cloud/apps/mymedia
myvideoanalyser,Myvideoanalyser,https://appcatalog.cloud/apps/myvideoanalyser
namo,Namo,https://appcatalog.cloud/apps/namo
navigator,Navigator,https://appcatalog.cloud/apps/navigator
navionics-chart-installer,Navionics Chart Installer,https://appcatalog.cloud/apps/navionics-chart-installer
net-100,Net 100,https://appcatalog.cloud/apps/net-100
net-80,Net 80,https://appcatalog.cloud/apps/net-80
net-90,Net 90,https://appcatalog.cloud/apps/net-90
netbird,Netbird,https://appcatalog.cloud/apps/netbird
nextai-translator,Nextai Translator,https://appcatalog.cloud/apps/nextai-translator
nextpad,Nextpad,https://appcatalog.cloud/apps/nextpad
nirvana,Nirvana,https://appcatalog.cloud/apps/nirvana
noor,Noor,https://appcatalog.cloud/apps/noor
noteey,Noteey,https://appcatalog.cloud/apps/noteey
ntfs-disk-by-omi,Ntfs Disk By Omi,https://appcatalog.cloud/apps/ntfs-disk-by-omi
obd-auto-doctor,Obd Auto Doctor,https://appcatalog.cloud/apps/obd-auto-doctor
object-info,Object Info,https://appcatalog.cloud/apps/object-info
offshoot,Offshoot,https://appcatalog.cloud/apps/offshoot
okiocam-snapshot-and-recorder,Okiocam Snapshot And Recorder,https://appcatalog.cloud/apps/okiocam-snapshot-and-recorder
ollamaspring,Ollamaspring,https://appcatalog.cloud/apps/ollamaspring
ondesoft-spotify-converter,Ondesoft Spotify Converter,https://appcatalog.cloud/apps/ondesoft-spotify-converter
onemenu,Onemenu,https://appcatalog.cloud/apps/onemenu
openphone,Openphone,https://appcatalog.cloud/apps/openphone
optisigns-digital-signage,Optisigns Digital Signage,https://appcatalog.cloud/apps/optisigns-digital-signage
oracle-java-jdk-17,Oracle Java Jdk 17,https://appcatalog.cloud/apps/oracle-java-jdk-17
oracle-java-jdk-21,Oracle Java Jdk 21,https://appcatalog.cloud/apps/oracle-java-jdk-21
oracle-java-jdk-22,Oracle Java Jdk 22,https://appcatalog.cloud/apps/oracle-java-jdk-22
oracle-java-jdk-23,Oracle Java Jdk 23,https://appcatalog.cloud/apps/oracle-java-jdk-23
oracle-java-jdk-24,Oracle Java Jdk 24,https://appcatalog.cloud/apps/oracle-java-jdk-24
